Time (ms),Bob1 X,Bob1 Y,Bob2 X,Bob2 Y
6,0.0618,0.1902,0.2521,0.2519
12,0.0619,0.1902,0.2523,0.2514
18,0.0619,0.1902,0.2526,0.2506
24,0.0621,0.1901,0.2531,0.2495
30,0.0622,0.1901,0.2536,0.248
36,0.0624,0.19,0.2543,0.2463
42,0.0626,0.1899,0.2551,0.2442
48,0.0629,0.1898,0.2561,0.2418
55,0.0632,0.1897,0.2571,0.239
61,0.0636,0.1896,0.2582,0.2359
67,0.0641,0.1895,0.2594,0.2325
73,0.0646,0.1893,0.2606,0.2287
79,0.0651,0.1891,0.262,0.2246
85,0.0658,0.1889,0.2633,0.2201
91,0.0666,0.1886,0.2648,0.2153
97,0.0674,0.1883,0.2662,0.2101
103,0.0684,0.188,0.2677,0.2046
109,0.0694,0.1876,0.2691,0.1987
115,0.0706,0.1871,0.2705,0.1924
121,0.0719,0.1866,0.2719,0.1858
127,0.0734,0.186,0.2733,0.1788
133,0.0751,0.1854,0.2746,0.1714
139,0.0769,0.1846,0.2758,0.1637
145,0.0789,0.1838,0.2769,0.1557
152,0.081,0.1828,0.2779,0.1473
158,0.0834,0.1818,0.2787,0.1386
164,0.086,0.1806,0.2794,0.1295
170,0.0889,0.1792,0.2799,0.1202
176,0.0919,0.1776,0.2803,0.1105
182,0.0952,0.1759,0.2805,0.1005
188,0.0988,0.1739,0.2804,0.0903
194,0.1026,0.1717,0.2802,0.0797
200,0.1066,0.1692,0.2797,0.069
206,0.1109,0.1664,0.279,0.058
212,0.1155,0.1633,0.2781,0.0468
218,0.1203,0.1598,0.2769,0.0354
224,0.1253,0.1559,0.2756,0.0239
230,0.1305,0.1515,0.274,0.0121
236,0.1359,0.1467,0.2721,0.0002
242,0.1415,0.1414,0.2701,-0.0118
248,0.1471,0.1355,0.2679,-0.0239
255,0.1528,0.129,0.2655,-0.0362
261,0.1585,0.1219,0.2629,-0.0486
267,0.1642,0.1142,0.2602,-0.0612
273,0.1697,0.1058,0.2574,-0.0739
279,0.175,0.0968,0.2545,-0.0867
285,0.1801,0.0871,0.2515,-0.0997
291,0.1847,0.0766,0.2485,-0.1129
297,0.189,0.0656,0.2453,-0.1263
303,0.1926,0.0538,0.2422,-0.14
309,0.1957,0.0414,0.239,-0.1538
315,0.198,0.0285,0.2358,-0.1679
321,0.1994,0.0149,0.2326,-0.1823
327,0.2,0.0009,0.2293,-0.1969
333,0.1995,-0.0135,0.226,-0.2118
339,0.198,-0.0284,0.2227,-0.2269
345,0.1952,-0.0436,0.2194,-0.2421
352,0.1911,-0.059,0.2161,-0.2574
358,0.1856,-0.0746,0.2127,-0.2727
364,0.1785,-0.0903,0.2092,-0.2879
370,0.1697,-0.1059,0.2056,-0.3026
376,0.159,-0.1214,0.2019,-0.3167
382,0.1462,-0.1364,0.1978,-0.3297
388,0.1313,-0.1509,0.1931,-0.3411
394,0.1142,-0.1642,0.1876,-0.3502
400,0.0951,-0.176,0.1809,-0.3566
406,0.0745,-0.1856,0.1726,-0.3599
412,0.0531,-0.1928,0.1624,-0.3603
418,0.0316,-0.1975,0.1504,-0.3584
424,0.0105,-0.1997,0.1369,-0.3547
430,-0.0099,-0.1998,0.1222,-0.3499
436,-0.0295,-0.1978,0.1066,-0.3443
442,-0.0483,-0.1941,0.0902,-0.3384
448,-0.0661,-0.1888,0.0733,-0.3322
455,-0.0828,-0.182,0.056,-0.326
461,-0.0986,-0.174,0.0383,-0.3198
467,-0.1132,-0.1649,0.0205,-0.3137
473,-0.1266,-0.1549,0.0023,-0.3078
479,-0.1388,-0.144,-0.016,-0.3019
485,-0.1497,-0.1326,-0.0345,-0.2961
491,-0.1594,-0.1208,-0.0533,-0.2903
497,-0.1678,-0.1088,-0.0723,-0.2845
503,-0.175,-0.0968,-0.0916,-0.2786
509,-0.181,-0.085,-0.1111,-0.2724
515,-0.1859,-0.0737,-0.1309,-0.266
521,-0.1899,-0.0629,-0.151,-0.2591
527,-0.1929,-0.0528,-0.1712,-0.2516
533,-0.1952,-0.0436,-0.1915,-0.2436
539,-0.1968,-0.0354,-0.2118,-0.2348
545,-0.198,-0.0282,-0.232,-0.2253
552,-0.1988,-0.0222,-0.2521,-0.2149
558,-0.1993,-0.0173,-0.2717,-0.2037
564,-0.1995,-0.0136,-0.2909,-0.1915
570,-0.1997,-0.0112,-0.3094,-0.1784
576,-0.1997,-0.01,-0.327,-0.1643
582,-0.1997,-0.0101,-0.3435,-0.1492
588,-0.1997,-0.0115,-0.3585,-0.133
594,-0.1995,-0.0142,-0.3717,-0.1158
600,-0.1992,-0.018,-0.3826,-0.0977
606,-0.1987,-0.0228,-0.3907,-0.0786
612,-0.198,-0.0284,-0.3956,-0.059
618,-0.197,-0.0343,-0.397,-0.0393
624,-0.1959,-0.0402,-0.3949,-0.0198
630,-0.1947,-0.0457,-0.3896,-0.0009
636,-0.1935,-0.0507,-0.3817,0.0169
642,-0.1922,-0.0552,-0.3715,0.0336
648,-0.1911,-0.059,-0.3594,0.049
655,-0.1901,-0.0622,-0.3459,0.0632
661,-0.1892,-0.0649,-0.3312,0.076
667,-0.1884,-0.0671,-0.3154,0.0874
673,-0.1878,-0.0688,-0.2989,0.0976
679,-0.1873,-0.07,-0.2817,0.1063
685,-0.187,-0.0708,-0.264,0.1138
691,-0.1869,-0.0713,-0.2459,0.1198
697,-0.1868,-0.0713,-0.2274,0.1245
703,-0.187,-0.071,-0.2087,0.1278
709,-0.1872,-0.0703,-0.1899,0.1297
715,-0.1876,-0.0693,-0.1711,0.13
721,-0.1881,-0.0679,-0.1524,0.1289
727,-0.1888,-0.0661,-0.134,0.1263
733,-0.1895,-0.0639,-0.1158,0.122
739,-0.1904,-0.0613,-0.0982,0.1161
745,-0.1913,-0.0584,-0.0812,0.1086
752,-0.1923,-0.0551,-0.0652,0.0993
758,-0.1933,-0.0515,-0.0503,0.0884
764,-0.1943,-0.0475,-0.0367,0.0757
770,-0.1953,-0.0432,-0.0248,0.0613
776,-0.1962,-0.0388,-0.0148,0.0455
782,-0.197,-0.0343,-0.0071,0.0282
788,-0.1978,-0.0299,-0.0017,0.0098
794,-0.1983,-0.0257,0.001,-0.0095
800,-0.1988,-0.022,0.0011,-0.0294
806,-0.1991,-0.0189,-0.0015,-0.0495
812,-0.1993,-0.0165,-0.0065,-0.0696
818,-0.1994,-0.0151,-0.0138,-0.0895
824,-0.1995,-0.0147,-0.023,-0.1089
830,-0.1994,-0.0154,-0.034,-0.1278
836,-0.1993,-0.0172,-0.0464,-0.1461
842,-0.199,-0.02,-0.0599,-0.1638
848,-0.1986,-0.024,-0.0744,-0.1808
855,-0.1979,-0.029,-0.0897,-0.1973
861,-0.1969,-0.0351,-0.1056,-0.2131
867,-0.1955,-0.0423,-0.122,-0.2283
873,-0.1935,-0.0505,-0.1388,-0.2428
879,-0.1909,-0.0597,-0.156,-0.2566
885,-0.1874,-0.0699,-0.1733,-0.2694
891,-0.1828,-0.0812,-0.1908,-0.281
897,-0.1768,-0.0936,-0.2082,-0.2911
903,-0.169,-0.107,-0.2251,-0.2989
909,-0.159,-0.1213,-0.241,-0.3037
915,-0.1466,-0.1361,-0.2548,-0.3042
921,-0.1317,-0.1505,-0.265,-0.2996
927,-0.1153,-0.1634,-0.2703,-0.2898
933,-0.0985,-0.1741,-0.2704,-0.2762
939,-0.0821,-0.1824,-0.2663,-0.2603
945,-0.0664,-0.1886,-0.2588,-0.2433
952,-0.0516,-0.1932,-0.2489,-0.226
958,-0.0375,-0.1964,-0.2372,-0.2087
964,-0.0241,-0.1985,-0.224,-0.1917
970,-0.0113,-0.1997,-0.2098,-0.1751
976,0.001,-0.2,-0.1948,-0.159
